Tweet;Negativo;Neutro;Positivo;Considerado
"Preocupação zero - com lesão do Neymar - acontece em todas as Copas, parece até de proposito. Tite tem que entender, que tem outros jogadores e valorizar esses jogadores. 
E vamos ser honestos - Brasil joga muito melhor sem o aparecido do Neymar.

#BrasilNaCopa  #CopaMundialFIFA";0.21526274;0.28699905;0.49773827;POSITIVO
"EAI ......
.......
...........
#Richarlison #golmaisbonitodacopa #copaqatar2022 
#hexa #vaibrasil #copa2022 #brasilnacopa #hexaénosso #gostodevitoria #pracimabrasil em Florianópolis, Santa Catarina https://t.co/dTEnAhHWzo";0.19848973;0.4584989;0.34301135;NEUTRO
#NovaFotoDePerfil #COPA22 #BrasilNaCopa https://t.co/vTmOh7KULK;0.03916611;0.8923125;0.068521254;NEUTRO
#Memes #meme #engraçado #ExistemDoisTipos #viral #legal #instagram #viagem  #casal #FIFAWorldCup             #koobrasil #BlackFriday #Brazil #BrasilNaCopa;0.57666224;0.3300455;0.09329226;NEGATIVO
Mitei ontem kkkkk acertei kkk 2 do #Richarlison  #mitei #BrasilNaCopa #FIFAWorldCup #placar #futebol #pombo https://t.co/1wzILQmueN;0.077182636;0.42159542;0.50122195;POSITIVO
"#CopaDoMundo2022 #Familia 
#primeiracopa Pietro 🇧🇷💚 #Brasil #BrasilNaCopa https://t.co/s2sEF22ErI";0.040481646;0.5875583;0.37196004;NEUTRO
"Gente, o jogo de ontem foi lindo. Mas, eu ainda tô com o c% na mão, faltam 6 jogos pro Hexa. Querendo ou não dá um cagaço danado kkkkkk Bora Brasil!
#Brazil #FIFAWorldCup #BrasilNaCopa https://t.co/IIQiomYDaU";0.21303712;0.28230456;0.50465834;POSITIVO
"""Brasil sob o signo do pombo. Pássaro pútrido e abençoado""

🎙️ Ouça o comentário de Lombardo Gomes, o mais experiente ex-narrador em atividade do Brasil. 

#Catar2022 #wordcup2022  #FIFAWorldCup2022 #BrasilNaCopa https://t.co/olGA7DTcbR";0.07343687;0.30294427;0.62361884;POSITIVO
"Você acha que sabe tudo de futebol, até começar a copa do mundo!
#Catar2022 #BrasilNaCopa #cbf";0.18756022;0.6619241;0.15051569;NEUTRO
"Confesso que eu não estava muito animado para torcer pela Seleção Brasileira nesta Copa, mas depois do jogo de ontem e de saber que os bozonarentos estão torcendo contra, estou 100% torcedor agora!!! 
#Copadomundo2022 #Brasilnacopa #Vemhexa";0.1656974;0.318299;0.5160036;POSITIVO
"Parabéns ao Brasil 🇧🇷 grande vitória ontem em cima dos sérvios ! 
Ao 🕊 @richarlison97 uma pintura o gol ⚽️ 

#rumoaohexa #hexa #brasil    #BrasilNaCopa #FIFAWorldCup 
#WorldcupQatar2022";0.042312153;0.1010559;0.856632;POSITIVO
Rpz não entendo pq tem tanto brasileiro com raiva do menino Neymar, calma meu pit segunda vc volta ! #FIFAWorldCup #neymar #BrasilNaCopa;0.86085635;0.118472286;0.02067138;NEGATIVO
